date,open,high,low,close,preclose,volume,amount,pctChg
2019-11-05,9885.023,9982.339,9847.198,9938.606,9868.133,23891814912,277812580352.0,0.714147
2019-11-06,9947.308,9947.308,9829.745,9860.974,9938.606,23284783616,268586565632.0,-0.781116
2019-11-07,9849.96,9939.532,9835.891,9917.487,9860.974,21698808576,243111100416.0,0.573098
2019-11-08,9985.196,10008.514,9890.996,9895.336,9917.487,23445124096,275567484928.0,-0.223353
2019-11-11,9821.406,9821.406,9664.063,9680.574,9895.336,23177417728,256712986624.0,-2.170336
2019-11-12,9675.56,9699.416,9570.443,9670.144,9680.574,20623032832,226468007936.0,-0.107742
2019-11-13,9678.649,9702.513,9622.308,9687.853,9670.144,18418487552,212394070016.0,0.183131
2019-11-14,9689.932,9768.672,9677.762,9746.56,9687.853,20556139264,236230291456.0,0.605986
2019-11-15,9741.933,9777.686,9647.991,9647.991,9746.56,21358611968,248499056640.0,-1.011321
2019-11-18,9635.806,9725.781,9624.947,9715.274,9647.991,19216376832,219553185792.0,0.697378
2019-11-19,9721.013,9889.753,9711.289,9889.753,9715.274,22615638784,262562226176.0,1.795925
2019-11-20,9885.904,9908.625,9796.953,9809.047,9889.753,23140264960,267412889600.0,-0.816057
2019-11-21,9772.033,9818.487,9733.44,9774.442,9809.047,20275581696,221200003072.0,-0.352787
2019-11-22,9794.317,9875.709,9573.473,9626.902,9774.442,25084743680,290476969984.0,-1.509447
2019-11-25,9626.405,9643.234,9515.331,9626.355,9626.902,22624475136,245818195968.0,-0.005682
2019-11-26,9662.413,9698.598,9609.73,9677.234,9626.355,21764473856,228146434048.0,0.528539
2019-11-27,9643.11,9694.224,9589.208,9648.392,9677.234,20275615744,218108198912.0,-0.29804
2019-11-28,9650.266,9679.963,9594.37,9622.143,9648.392,18312471808,195291209728.0,-0.272056
2019-11-29,9614.712,9633.138,9490.846,9582.155,9622.143,18457250816,201184616448.0,-0.415583
2019-12-02,9603.016,9647.953,9582.324,9605.188,9582.155,18545215488,203141935104.0,0.240374
2019-12-03,9585.753,9657.653,9531.255,9657.653,9605.188,19311457280,211789709312.0,0.546215
2019-12-04,9624.185,9703.395,9614.037,9687.95,9657.653,20208673024,219796480000.0,0.31371
2019-12-05,9719.301,9817.206,9703.91,9799.069,9687.95,22953555968,264063795200.0,1.146982
2019-12-06,9804.04,9878.622,9791.562,9878.622,9799.069,22839699968,260326068224.0,0.811842
2019-12-09,9908.968,9917.605,9853.197,9876.268,9878.622,25581014272,286321811456.0,-0.023829
2019-12-10,9850.036,9915.865,9826.834,9915.865,9876.268,25983252480,286000414720.0,0.400931
