date,open,high,low,close,volume,amount,turn,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
2013-08-02,6.44606587,6.52273454,6.35170443,6.37529479,36088537,394147520.0,0.204281,-0.552,4.999746,1.087903,2.01365,1.340886
2013-08-05,6.38119238,6.4283731,6.32221648,6.39888515,29081460,313861696.0,0.164617,0.37,5.018246,1.091929,2.021101,1.345848
2013-08-06,6.35760202,6.41657792,6.29862612,6.34580684,40097631,431419264.0,0.226975,-0.8295,4.97662,1.082871,2.004337,1.334684
2013-08-07,6.34580684,6.43427069,6.3104213,6.32221648,38069382,411065856.0,0.215494,-0.3717,4.95812,1.078846,1.996886,1.329723
2013-08-08,6.3104213,6.44606587,6.30452371,6.33990925,42651729,460570976.0,0.241432,0.2799,4.971995,1.081865,2.002474,1.333444
2013-08-09,6.39298756,6.4283731,6.22195745,6.30452371,42253602,452598144.0,0.239179,-0.5581,4.944244,1.075826,1.991297,1.326001
2013-08-12,6.3693972,6.52273454,6.30452371,6.51683695,81975023,896354816.0,0.464024,3.3676,5.110748,1.112056,2.058357,1.370656
2013-08-13,6.51683695,6.61119839,6.49914418,6.57581285,65007181,723604800.0,0.367976,0.905,5.157,1.12212,2.076984,1.38306
2013-08-14,6.59350562,6.68786706,6.55222249,6.57581285,54414111,610890304.0,0.308014,0.0,5.157,1.12212,2.076984,1.38306
2013-08-15,6.57581285,6.62889116,6.50504177,6.51093936,39585571,442036416.0,0.224076,-0.9865,5.106123,1.11105,2.056494,1.369416
2013-08-16,6.49324659,7.15967426,6.34580684,6.48145141,151349940,1708117888.0,0.856724,-0.4529,5.082998,1.106018,2.04718,1.363214
2013-08-19,6.40478274,6.63478875,6.36349961,6.55812008,68019220,749488384.0,0.385026,1.1829,4.98094,1.129926,1.994363,-2.157467
2013-08-20,6.54042731,6.69966224,6.46965623,6.50504177,81543907,910438144.0,0.461583,-0.8094,4.940627,1.120781,1.978222,-2.140005
